zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
4566,3.173767,3579.000000,-12.045082,-74.137328,44488,19802,44634,19901
3418,3.164013,3568.000000,-9.106716,-75.874966,33593,13351,33705,13460
3123,3.163126,3567.000000,-8.375953,-76.794662,30891,9901,31003,10050
2266,3.161352,3565.000000,-5.999666,-77.482798,22083,7354,22169,7503
583,3.156919,3560.000000,-3.692949,-75.570756,13457,14359,13672,14748
4605,3.156919,3560.000000,-12.133381,-69.424844,44770,37210,44981,37409
3585,3.156032,3559.000000,-9.533410,-73.630659,35175,21617,35322,21819
4369,3.154258,3557.000000,-11.470479,-74.345448,42327,19014,42520,19107
5069,3.154258,3557.000000,-12.958604,-73.495422,47899,22172,48000,22302
169,3.150711,3553.000000,-2.347022,-71.480480,8463,29604,8621,29736
4257,3.149824,3552.000000,-11.219642,-73.914168,41447,20584,41539,20787
2907,3.148938,3551.000000,-7.879228,-74.164563,28986,19644,29231,19907
4475,3.148938,3551.000000,-11.769521,-73.128300,43467,23544,43620,23651
5360,3.148051,3550.000000,-13.993841,-69.255595,51719,37875,51842,38040
1323,3.144504,3546.000000,-4.498735,-75.454954,16472,14880,16603,15009
2993,3.143617,3545.000000,-8.124757,-74.537400,29911,18293,30083,18429
5440,3.141843,3543.000000,-14.361947,-69.154399,53073,38293,53199,38390
4841,3.141843,3543.000000,-12.658618,-70.100983,46776,34762,46883,34858
3243,3.140070,3541.000000,-8.659940,-76.266628,31884,11904,32050,11999
1232,3.139183,3540.000000,-4.406369,-75.193965,16159,15880,16266,15977
3178,3.138296,3539.000000,-8.514698,-76.219822,31358,12066,31564,12154
657,3.138296,3539.000000,-3.786742,-71.665904,13852,28974,13975,29054
1710,3.138296,3539.000000,-5.020810,-79.343476,18419,487,18563,588
2895,3.136523,3537.000000,-7.810050,-75.091295,28768,16058,28957,16419
5073,3.127655,3527.000000,-12.966659,-73.008996,47909,23947,48040,24082
2943,3.127655,3527.000000,-7.984573,-74.916094,29412,16913,29554,17011
2775,3.124108,3523.000000,-7.382692,-76.435098,27169,11257,27338,11367
1417,3.121448,3520.000000,-4.605192,-73.767804,16865,21153,17031,21254
1543,3.121448,3520.000000,-4.794672,-76.244221,17573,11970,17734,12074
1465,3.117900,3516.000000,-4.680172,-76.146160,17135,12336,17304,12435
1949,3.117900,3516.000000,-5.436395,-74.311131,19952,19162,20121,19253
4224,3.116127,3514.000000,-11.166205,-72.954556,41214,24187,41390,24276
